date,ticker,price,decision,reason,sentiment,rsi,confidence
2026-01-22,XRP-USDT,1.9236,sell,"SELL_MILD: score=-14, RSI=42.0",-0.650,42.02,0.600
2026-01-23,ADA-USDT,0.3602,sell,"SELL_MILD: score=-13, RSI=42.0",-0.600,42.03,0.600
2026-01-23,BNB-USDT,891.63,sell,SELL: score=-19,-0.350,46.73,0.600
2026-01-23,BTC-USDT,89600.26,sell,SELL: score=-21,-0.450,43.69,0.650
2026-01-23,DOGE-USDT,0.12477,hold,Neutral (score=-8),-0.600,39.11,0.600
2026-01-23,DOT-USDT,1.926,sell,SELL: score=-21,-0.600,42.58,0.600
2026-01-23,ETH-USDT,2956.41,hold,Neutral (score=-9),-0.650,39.74,0.600
2026-01-23,LTC-USDT,68.07,hold,Neutral (score=-9),-0.650,32.35,0.600
2026-01-23,SOL-USDT,127.43,sell,"SELL_MILD: score=-6, RSI=41.3",-0.650,41.29,0.600
2026-01-23,XRP-USDT,1.9196,sell,"SELL_MILD: score=-13, RSI=41.7",-0.600,41.75,0.650
2026-01-24,ADA-USDT,0.3583,sell,"SELL_MILD: score=-14, RSI=41.5",-0.650,41.48,0.600
2026-01-24,BNB-USDT,887.17,sell,SELL: score=-18,-0.300,45.34,0.600
2026-01-24,BTC-USDT,89225.34,sell,SELL: score=-26,-0.650,42.57,0.600
2026-01-24,DOGE-USDT,0.12423,hold,Neutral (score=-9),-0.650,38.64,0.600
2026-01-24,DOT-USDT,1.93,sell,"SELL_MILD: score=-8, RSI=42.9",-0.400,42.87,0.650
2026-01-24,ETH-USDT,2953.22,hold,Neutral (score=-9),-0.650,39.57,0.600
2026-01-24,LTC-USDT,68.19,hold,Neutral (score=-9),-0.650,32.74,0.600
2026-01-24,SOL-USDT,127.21,sell,"SELL_MILD: score=-14, RSI=41.1",-0.650,41.05,0.600
2026-01-24,XRP-USDT,1.9143,sell,"SELL_MILD: score=-14, RSI=41.4",-0.650,41.37,0.600
2026-01-25,ADA-USDT,0.3391,hold,Neutral (score=-1),-0.650,36.32,0.600
